district,opp_fund
Appoquinimink,584100
Brandywine,1135000
Caesar Rodney,814000
Cape Henlopen,660000
Capital,1146200
Christina,2731500
Colonial,1702000
Delmar,81700
Indian River,2117205
Lake Forest,486600
Laurel,482700
Milford,871300
NCCVT,405000
POLYTECH,63300
Red Clay,2800000
Seaford,793290
Smyrna,470900
Sussex Tech,89582
Woodbridge,482700
Academia Antonia Alonso:,256400
Academy of Dover,66800
Campus Community,49900
Charter of New Castle,117000
Charter of Wilmington,11900
Early College High School,39000
Edison,167000
East Side,116398
First State Military,30600
First State Montessori,22900
Freire,66900
Gateway Lab,24000
Great Oaks,90000
Kuumba,125400
Las Americas Aspira,211700
MOT Charter,34000
Newark Charter,123000
Odyssey Charter School,109000
Positive Outcomes,11400
Providence Creek,39900
Sussex Academy,28500
